Name,PipeSize,Schedule,G,H,M,POD,PID,Approx. Wt.
F0123WE,"1/2""",40,0.4965 in,1.2475 in,1.075 in,0.844 in,0.602 in,0.060 lbs
F0343WE,"3/4""",40,0.6025 in,1.6035 in,1.2930 in,1.0620 in,0.804 in,0.119 lbs
F0013WE,"1""",40,0.7865 in,2.0375 in,1.595 in,1.321 in,1.029 in,0.175 lbs
F1143WE,"1-3/4""",40,0.8615 in,2.3675 in,1.9690 in,1.6600 in,1.36 in,0.275 lbs
F1123WE,"1-1/2""",40,0.9505 in,2.4485 in,2.2150 in,1.9000 in,1.59 in,0.363 lbs
F0023WE,"2""",40,1.3685 in,2.6805 in,2.7150 in,2.3770 in,2.047 in,0.406 lbs
