"Name","PipeSize","PipeSize1","Schedule","L","N","Approx. Wt.","PID","PID1","POD1"
"837-052","3/8""","1/4""",80,"31/32 in","5/16 in",".01 lb","0.403 in","0.282 in","0.540 in"
"837-072","1/2""","1/4""",80,"1+3/32 in","13/32 in",".02 lb","0.526 in","0.282 in","0.540 in"
"837-073","1/2""","3/8""",80,"1+1/8 in","11/32 in",".01 lb","0.526 in","0.403 in","0.675 in"
"837-101","3/4""","1/2""",80,"1+7/32 in","11/32 in",".03 lb","0.722 in","0.526 in","0.840 in"
"837-129","1""","3/8""",80,"1+5/8 in","27/32 in",".09 lb","0.936 in","0.403 in","0.675 in"
"837-130","1""","1/2""",80,"1+11/32 in","11/32 in",".06 lb","0.936 in","0.526 in","0.840 in"
"837-131","1""","3/4""",80,"1+11/32 in","5/16 in",".04 lb","0.936 in","0.722 in","1.050 in"
"837-166","1-1/4""","1/2""",80,"1+1/2 in","5/8 in",".12 lb","1.255 in","0.526 in","0.840 in"
"837-167","1-1/4""","3/4""",80,"1+1/2 in","1/2 in",".10 lb","1.255 in","0.722 in","1.050 in"
"837-168","1-1/4""","1""",80,"1+19/32 in","15/32 in",".06 lb","1.255 in","0.936 in","1.315 in"
"837-209","1-1/2""","1/2""",80,"1+23/32 in","13/16 in",".15 lb","1.476 in","0.526 in","0.840 in"
"837-210","1-1/2""","3/4""",80,"1+5/8 in","5/8 in",".16 lb","1.476 in","0.722 in","1.050 in"
"837-211","1-1/2""","1""",80,"1+9/16 in","13/32 in",".13 lb","1.476 in","0.936 in","1.315 in"
"837-212","1-1/2""","1-1/4""",80,"1+9/16 in","9/32 in",".07 lb","1.476 in","1.255 in","1.660 in"
"837-247","2""","1/2""",80,"1+25/32 in","7/8 in",".24 lb","1.913 in","0.526 in","0.840 in"
"837-248","2""","3/4""",80,"1+29/32 in","21/32 in",".26 lb","1.913 in","0.722 in","1.050 in"
"837-249","2""","1""",80,"1+25/32 in","5/8 in",".24 lb","1.913 in","0.936 in","1.315 in"
"837-250","2""","1-1/4""",80,"1+11/16 in","7/16 in",".20 lb","1.913 in","1.255 in","1.660 in"
"837-251","2""","1-1/2""",80,"1+3/4 in","11/32 in",".15 lb","1.913 in","1.476 in","1.900 in"
"837-287","2-1/2""","1/2""",80,"2+1/2 in","1+1/2 in",".54 lb","2.290 in","0.526 in","0.840 in"
"837-288","2-1/2""","3/4""",80,"2+17/32 in","1+15/32 in",".55 lb","2.290 in","0.722 in","1.050 in"
"837-289","2-1/2""","1""",80,"2+1/32 in","29/32 in",".37 lb","2.290 in","0.936 in","1.315 in"
"837-290","2-1/2""","1-1/4""",80,"2+5/32 in","13/32 in",".43 lb","2.290 in","1.255 in","1.660 in"
"837-291","2-1/2""","1-1/2""",80,"2+5/32 in","3/4 in",".37 lb","2.290 in","1.476 in","1.900 in"
"837-292","2-1/2""","2""",80,"2+1/16 in","17/32 in",".23 lb","2.290 in","1.913 in","2.375 in"
"837-334","3""","3/4""",80,"2+9/16 in","1+17/32 in",".69 lb","2.864 in","0.722 in","1.050 in"
"837-335","3""","1""",80,"2+9/32 in","1+1/8 in",".69 lb","2.864 in","0.936 in","1.315 in"
"837-336","3""","1-1/4""",80,"2+1/4 in","1 in",".63 lb","2.864 in","1.255 in","1.660 in"
"837-337","3""","1-1/2""",80,"2+9/32 in","7/8 in",".59 lb","2.864 in","1.476 in","1.900 in"
"837-338","3""","2""",80,"2+7/32 in","23/32 in",".47 lb","2.864 in","1.913 in","2.375 in"
"837-339","3""","2-1/2""",80,"2+7/32 in","9/16 in",".47 lb","2.864 in","2.290 in","2.875 in"
"837-415","4""","1/2""",80,"3+1/16 in","2+5/32 in","1.31 lb","3.786 in","0.526 in","0.840 in"
"837-416","4""","3/4""",80,"2+27/32 in","1+27/32 in","1.25 lb","3.786 in","0.722 in","1.050 in"
"837-417","4""","1""",80,"3+1/16 in","1+1/8 in","1.31 lb","3.786 in","0.936 in","1.315 in"
"837-418","4""","1-1/4""",80,"3+9/16 in","1+11/16 in","1.33 lb","3.786 in","1.255 in","1.660 in"
"837-419","4""","1-1/2""",80,"2+19/32 in","1+3/16 in","1.02 lb","3.786 in","1.476 in","1.900 in"
"837-420","4""","2""",80,"2+21/32 in","1+1/8 in","1.01 lb","3.786 in","1.913 in","2.375 in"
"837-421","4""","2-1/2""",80,"2+17/32 in","25/32 in","1.00 lb","3.786 in","2.290 in","2.875 in"
"837-422","4""","3""",80,"2+9/16 in","11/16 in",".84 lb","3.786 in","2.864 in","3.500 in"
"837-490","5""","4""",80,"2+31/32 in","23/32 in","1.29 lb","4.768 in","3.786 in","4.500 in"
"837-490F","5""","4""",80,"3 in","3/4 in","1.41 lb","4.768 in","3.786 in","4.500 in"
"837-524","6""","3/4""",80,"4+1/2 in","3+1/2 in","3.45 lb","5.709 in","0.722 in","1.050 in"
"837-525","6""","1""",80,"3+31/32 in","2+13/16 in","3.13 lb","5.709 in","0.936 in","1.315 in"
"837-526","6""","1-1/4""",80,"3+25/32 in","2+17/32 in","3.07 lb","5.709 in","1.255 in","1.660 in"
"837-527","6""","1-1/2""",80,"3+3/4 in","2+11/32 in","3.01 lb","5.709 in","1.476 in","1.900 in"
"837-528","6""","2""",80,"3+17/32 in","2+1/32 in","2.83 lb","5.709 in","1.913 in","2.375 in"
"837-529","6""","2-1/2""",80,"3+29/32 in","2+5/32 in","3.29 lb","5.709 in","2.290 in","2.875 in"
"837-530","6""","3""",80,"3+17/32 in","2+1/8 in","2.84 lb","5.709 in","2.864 in","3.500 in"
"837-532","6""","4""",80,"3+9/16 in","1+1/4 in","2.71 lb","5.709 in","3.786 in","4.500 in"
"837-533F","6""","5""",80,"3 in","7/16 in","1.76 lb","5.709 in","4.768 in","5.563 in"
