"Name","PipeSize","PipeSize1","Schedule","G","G1","G2","G3","H","H1","H2","H3","L","L1","M","M1","Approx. Wt.","POD","PID","POD1","PID1"
"420-080F","8""","8""",40,"8+9/16 in","8+9/16 in","8+9/16 in","8+9/16 in","12+13/16 in","12+13/16 in","12.8125 in","12.8125 in","25+5/8 in","25+5/8 in","9+1/4 in","9+1/4 in","26.10 lb","8.625 in","7.942 in","8.625 in","7.942 in"
"420-100F","10""","10""",40,"9+7/8 in","9+3/8 in","9+7/8 in","9+3/8 in","15+1/8 in","14+5/8 in","15.125 in","14.625 in","30+1/4 in","29+1/4 in","11+1/2 in","11+1/2 in","43.81 lb","10.750 in","9.976 in","10.750 in","9.976 in"
"420-120F","12""","12""",40,"10+3/4 in","10+3/16 in","10+3/4 in","10+3/16 in","17 in","16+7/16 in","17 in","16.4375 in","34 in","32+7/8 in","13+9/16 in","13+9/16 in","66.22 lb","12.750 in","11.889 in","12.750 in","11.889 in"
"820-002","1/4""","1/4""",80,"13/32 in","13/32 in","13/32 in","13/32 in","1+1/32 in","1+1/32 in","1.03125 in","1.03125 in","2+1/16 in","2+1/16 in","27/32 in","27/32 in",".05 lb","0.540 in","0.282 in","0.540 in","0.282 in"
"820-005","1/2""","1/2""",80,"9/16 in","9/16 in","9/16 in","9/16 in","1+15/32 in","1+15/32 in","1.46875 in","1.46875 in","2+15/16 in","2+15/16 in","1+3/16 in","1+3/16 in",".13 lb","0.840 in","0.526 in","0.840 in","0.526 in"
"820-007","3/4""","3/4""",80,"5/8 in","5/8 in","5/8 in","5/8 in","1+5/8 in","1+5/8 in","1.65625 in","1.65625 in","3+9/32 in","3+9/32 in","1+13/32 in","1+13/32 in",".22 lb","1.050 in","0.722 in","1.050 in","0.722 in"
"820-010","1""","1""",80,"31/32 in","31/32 in","31/32 in","31/32 in","2+3/32 in","2+3/32 in","2.125 in","2.125 in","4+7/32 in","4+7/32 in","1+23/32 in","1+23/32 in",".39 lb","1.315 in","0.936 in","1.315 in","0.936 in"
"820-012","1-1/4""","1-1/4""",80,"1+3/32 in","1+3/32 in","1+3/32 in","1+3/32 in","2+3/8 in","2+3/8 in","2.375 in","2.375 in","4+3/4 in","4+3/4 in","2+1/8 in","2+1/8 in",".63 lb","1.660 in","1.255 in","1.660 in","1.255 in"
"820-015","1-1/2""","1-1/2""",80,"1+1/4 in","1+1/4 in","1+1/4 in","1+1/4 in","2+5/8 in","2+5/8 in","2.625 in","2.625 in","5+1/4 in","5+1/4 in","2+3/8 in","2+3/8 in",".80 lb","1.900 in","1.476 in","1.900 in","1.476 in"
"820-020","2""","2""",80,"1+1/2 in","1+1/2 in","1+1/2 in","1+1/2 in","3 in","3 in","3 in","3 in","6 in","6 in","3 in","3 in","1.34 lb","2.375 in","1.913 in","2.375 in","1.913 in"
"820-025","2-1/2""","2-1/2""",80,"1+11/16 in","1+11/16 in","1+11/16 in","1+11/16 in","3+15/32 in","3+15/32 in","3.4375 in","3.4375 in","6+29/32 in","6+29/32 in","3+17/32 in","3+17/32 in","2.02 lb","2.875 in","2.290 in","2.875 in","2.290 in"
"820-030","3""","3""",80,"2+3/32 in","2+3/32 in","2+3/32 in","2+3/32 in","3+31/32 in","3+31/32 in","3.96875 in","3.96875 in","7+15/16 in","7+15/16 in","4+11/32 in","4+11/32 in","3.30 lb","3.500 in","2.864 in","3.500 in","2.864 in"
"820-040","4""","4""",80,"2+5/8 in","2+5/8 in","2+5/8 in","2+5/8 in","4+7/8 in","4+7/8 in","4.875 in","4.875 in","9+3/4 in","9+3/4 in","5+11/32 in","5+11/32 in","5.31 lb","4.500 in","3.786 in","4.500 in","3.786 in"
"820-050F","5""","5""",80,"5+1/2 in","5+1/2 in","5+1/2 in","5+1/2 in","8+1/2 in","8+1/2 in","8.5 in","8.5 in","17 in","17 in","6+5/16 in","6+5/16 in","14.69 lb","5.563 in","4.768 in","5.563 in","4.768 in"
"820-060F","6""","6""",80,"6+1/4 in","6+1/4 in","6+1/4 in","6+1/4 in","9+1/2 in","9+1/2 in","9.5 in","9.5 in","19 in","19 in","7+1/2 in","7+1/2 in","16.19 lb","6.625 in","5.709 in","6.625 in","5.709 in"
"820-080F","8""","8""",80,"7+5/8 in","7+5/8 in","7+5/8 in","7+5/8 in","11+7/8 in","11+7/8 in","11.875 in","11.875 in","23+3/4 in","23+3/4 in","9+5/8 in","9+5/8 in","28.22 lb","8.625 in","7.565 in","8.625 in","7.565 in"
"820-100F","10""","10""",80,"9 in","9 in","9 in","9 in","14+1/4 in","14+1/4 in","14.25 in","14.25 in","28+1/2 in","28+1/2 in","11+15/16 in","11+15/16 in","49.78 lb","10.750 in","9.493 in","10.750 in","9.493 in"
"820-120F","12""","12""",80,"11+1/4 in","11+1/4 in","11+1/4 in","11+1/4 in","17+1/2 in","17+1/2 in","17.5 in","17.5 in","35 in","35 in","14+1/8 in","14+1/8 in","80.83 lb","12.750 in","11.294 in","12.750 in","11.294 in"
