Name,PipeSize,Schedule,G,H,M,POD,PID,Approx. Wt.
413-005,"1/2""",40,1/2 in,1+1/4 in,1+3/32 in,0.84 in,0.602 in,0.06 lbs
413-007,"3/4""",40,9/16 in,1+9/16 in,1+5/16 in,1.05 in,0.804 in,0.10 lbs
413-010,"1""",40,3/16 in,1+7/8 in,1+5/8 in,1.315 in,1.029 in,0.17 lbs
413-015,"1-1/2""",40,1+1/32 in,2+11/32 in,2+1/4 in,1.9 in,1.59 in,0.32 lbs
413-020,"2""",40,1+5/16 in,2+5/8 in,2+3/4 in,2.375 in,2.047 in,0.47 lbs
